특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5333333333333333,0.5285714285714286,0.5,0.4785714285714286,"[[64, 41], [58, 47]]","[[67, 3], [70, 0]]"
F_mean_3d_Fz,delta,None,KNN,0.8333333333333334,0.719047619047619,0.3,0.39285714285714285,"[[79, 26], [33, 72]]","[[43, 27], [58, 12]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.5666666666666667,0.5380952380952381,0.5,0.4714285714285714,"[[64, 41], [56, 49]]","[[66, 4], [70, 0]]"
F_mean_3d_Fz,delta,None,Random Forest,0.6666666666666666,0.6047619047619047,0.5,0.5071428571428571,"[[71, 34], [49, 56]]","[[64, 6], [63, 7]]"
F_mean_3d_Fz,delta,None,XGBoost,0.6666666666666666,0.6047619047619047,0.5,0.5071428571428571,"[[70, 35], [48, 57]]","[[64, 6], [63, 7]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7,0.6428571428571429,0.5,0.4928571428571429,"[[75, 30], [45, 60]]","[[65, 5], [66, 4]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[105, 0], [105, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,0.8666666666666667,0.6857142857142857,0.45,0.4928571428571429,"[[72, 33], [33, 72]]","[[40, 30], [41, 29]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.5,0.5,0.5,"[[105, 0], [105, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.7333333333333333,0.6,0.5,0.5357142857142857,"[[54, 51], [33, 72]]","[[33, 37], [28, 42]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.6666666666666666,0.5714285714285714,0.5,0.5357142857142857,"[[44, 61], [29, 76]]","[[25, 45], [20, 50]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.7666666666666667,0.6523809523809524,0.55,0.5214285714285715,"[[79, 26], [47, 58]]","[[46, 24], [43, 27]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[105, 0], [105, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,0.8666666666666667,0.6857142857142857,0.45,0.4928571428571429,"[[72, 33], [33, 72]]","[[40, 30], [41, 29]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.5,0.5,0.5,0.5,"[[105, 0], [105, 0]]","[[70, 0], [70, 0]]"
