특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5,0.5057471264367817,0.35,0.40714285714285714,"[[218, 217], [213, 222]]","[[1, 69], [14, 56]]"
F_mean_3d_Fz,delta,None,KNN,1.0,0.7333333333333333,0.3,0.4642857142857143,"[[309, 126], [106, 329]]","[[25, 45], [30, 40]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.4666666666666667,0.49885057471264366,0.35,0.4142857142857143,"[[220, 215], [221, 214]]","[[2, 68], [14, 56]]"
F_mean_3d_Fz,delta,None,Random Forest,0.8333333333333334,0.6080459770114942,0.4,0.5,"[[271, 164], [177, 258]]","[[16, 54], [16, 54]]"
F_mean_3d_Fz,delta,None,XGBoost,0.8666666666666667,0.5988505747126437,0.45,0.5285714285714286,"[[241, 194], [155, 280]]","[[18, 52], [14, 56]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.8333333333333334,0.6666666666666666,0.35,0.4642857142857143,"[[298, 137], [153, 282]]","[[13, 57], [18, 52]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,1.0,0.6931034482758621,0.5,0.5,"[[299, 136], [131, 304]]","[[34, 36], [34, 36]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.5,0.5,0.5,"[[301, 134], [301, 134]]","[[49, 21], [49, 21]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.7666666666666667,0.5816091954022988,0.6,0.4928571428571429,"[[266, 169], [195, 240]]","[[32, 38], [33, 37]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.7,0.5701149425287356,0.55,0.4785714285714286,"[[255, 180], [194, 241]]","[[31, 39], [34, 36]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.7666666666666667,0.6241379310344828,0.45,0.5285714285714286,"[[335, 100], [227, 208]]","[[48, 22], [44, 26]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,1.0,0.6931034482758621,0.5,0.5,"[[299, 136], [131, 304]]","[[34, 36], [34, 36]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.5,0.5,0.5,0.5,"[[301, 134], [301, 134]]","[[49, 21], [49, 21]]"
F_mean_3d_Fz,delta,norm3,Random Forest,0.7666666666666667,0.5816091954022988,0.6,0.4928571428571429,"[[266, 169], [195, 240]]","[[32, 38], [33, 37]]"
F_mean_3d_Fz,delta,norm3,XGBoost,0.7,0.5701149425287356,0.55,0.4785714285714286,"[[255, 180], [194, 241]]","[[31, 39], [34, 36]]"
F_mean_3d_Fz,delta,norm3,Ensemble (Majority Vote),0.7666666666666667,0.6241379310344828,0.45,0.5285714285714286,"[[335, 100], [227, 208]]","[[48, 22], [44, 26]]"
F_mean_3d_Fz,theta,None,Logistic Regression,0.5333333333333333,0.49885057471264366,0.55,0.5571428571428572,"[[203, 232], [204, 231]]","[[70, 0], [62, 8]]"
F_mean_3d_Fz,theta,None,KNN,0.9666666666666667,0.6781609195402298,0.65,0.5642857142857143,"[[295, 140], [140, 295]]","[[27, 43], [18, 52]]"
F_mean_3d_Fz,theta,None,Linear SVM,0.5333333333333333,0.49885057471264366,0.55,0.5642857142857143,"[[198, 237], [199, 236]]","[[70, 0], [61, 9]]"
F_mean_3d_Fz,theta,None,Random Forest,0.8,0.6068965517241379,0.4,0.4857142857142857,"[[286, 149], [193, 242]]","[[26, 44], [28, 42]]"
F_mean_3d_Fz,theta,None,XGBoost,0.6,0.5505747126436782,0.45,0.5285714285714286,"[[217, 218], [173, 262]]","[[38, 32], [34, 36]]"
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.6333333333333333,0.5666666666666667,0.6,0.6,"[[232, 203], [174, 261]]","[[48, 22], [34, 36]]"
F_mean_3d_Fz,theta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm2,KNN,0.9333333333333333,0.6827586206896552,0.45,0.5071428571428571,"[[303, 132], [144, 291]]","[[32, 38], [31, 39]]"
F_mean_3d_Fz,theta,norm2,Linear SVM,0.5666666666666667,0.5114942528735632,0.45,0.4857142857142857,"[[212, 223], [202, 233]]","[[31, 39], [33, 37]]"
F_mean_3d_Fz,theta,norm2,Random Forest,0.8,0.6,0.35,0.44285714285714284,"[[277, 158], [190, 245]]","[[33, 37], [41, 29]]"
F_mean_3d_Fz,theta,norm2,XGBoost,0.5,0.539080459770115,0.45,0.45,"[[324, 111], [290, 145]]","[[43, 27], [50, 20]]"
F_mean_3d_Fz,theta,norm2,Ensemble (Majority Vote),0.6,0.6011494252873564,0.45,0.4357142857142857,"[[351, 84], [263, 172]]","[[42, 28], [51, 19]]"
F_mean_3d_Fz,theta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm3,KNN,0.9333333333333333,0.6827586206896552,0.45,0.5071428571428571,"[[303, 132], [144, 291]]","[[32, 38], [31, 39]]"
F_mean_3d_Fz,theta,norm3,Linear SVM,0.5666666666666667,0.5114942528735632,0.45,0.4857142857142857,"[[212, 223], [202, 233]]","[[31, 39], [33, 37]]"
F_mean_3d_Fz,theta,norm3,Random Forest,0.8,0.6,0.35,0.44285714285714284,"[[277, 158], [190, 245]]","[[33, 37], [41, 29]]"
F_mean_3d_Fz,theta,norm3,XGBoost,0.5,0.539080459770115,0.45,0.45,"[[324, 111], [290, 145]]","[[43, 27], [50, 20]]"
F_mean_3d_Fz,theta,norm3,Ensemble (Majority Vote),0.6,0.6011494252873564,0.45,0.4357142857142857,"[[351, 84], [263, 172]]","[[42, 28], [51, 19]]"
F_mean_3d_Fz,alpha,None,Logistic Regression,0.5333333333333333,0.5045977011494253,0.5,0.4857142857142857,"[[233, 202], [229, 206]]","[[0, 70], [2, 68]]"
F_mean_3d_Fz,alpha,None,KNN,1.0,0.6770114942528735,0.4,0.4785714285714286,"[[291, 144], [137, 298]]","[[45, 25], [48, 22]]"
F_mean_3d_Fz,alpha,None,Linear SVM,0.5333333333333333,0.503448275862069,0.5,0.4857142857142857,"[[237, 198], [234, 201]]","[[0, 70], [2, 68]]"
F_mean_3d_Fz,alpha,None,Random Forest,0.7333333333333333,0.603448275862069,0.65,0.5285714285714286,"[[202, 233], [112, 323]]","[[52, 18], [48, 22]]"
F_mean_3d_Fz,alpha,None,XGBoost,0.5333333333333333,0.5574712643678161,0.65,0.5428571428571428,"[[111, 324], [61, 374]]","[[49, 21], [43, 27]]"
F_mean_3d_Fz,alpha,None,Ensemble (Majority Vote),0.8,0.6126436781609196,0.6,0.5142857142857142,"[[212, 223], [114, 321]]","[[37, 33], [35, 35]]"
F_mean_3d_Fz,alpha,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,alpha,norm2,KNN,1.0,0.6908045977011494,0.6,0.5714285714285714,"[[307, 128], [141, 294]]","[[38, 32], [28, 42]]"
F_mean_3d_Fz,alpha,norm2,Linear SVM,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,alpha,norm2,Random Forest,0.8333333333333334,0.5919540229885057,0.5,0.5285714285714286,"[[246, 189], [166, 269]]","[[33, 37], [29, 41]]"
F_mean_3d_Fz,alpha,norm2,XGBoost,0.7666666666666667,0.5770114942528736,0.5,0.5357142857142857,"[[228, 207], [161, 274]]","[[31, 39], [26, 44]]"
F_mean_3d_Fz,alpha,norm2,Ensemble (Majority Vote),0.6666666666666666,0.6459770114942529,0.5,0.55,"[[366, 69], [239, 196]]","[[47, 23], [40, 30]]"
F_mean_3d_Fz,alpha,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,alpha,norm3,KNN,1.0,0.6908045977011494,0.6,0.5714285714285714,"[[307, 128], [141, 294]]","[[38, 32], [28, 42]]"
F_mean_3d_Fz,alpha,norm3,Linear SVM,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
