특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d_Fp1,delta,None,XGBoost,0.6133,0.5634,0.63,0.5814
F_median_3d_F4,delta,None,XGBoost,0.6267,0.5687,0.62,0.5757
F_de_3d_2area,delta,norm3,XGBoost,0.6733,0.594,0.59,0.5743
F_de_3d_2area,delta,norm3,Logistic Regression,0.5,0.5053,0.56,0.5729
F_mean_3d_Fp1,beta,None,XGBoost,0.62,0.5784,0.61,0.57
F_de_3d_2area,delta,norm3,Linear SVM,0.5067,0.5078,0.55,0.5686
F_rasm_3d,delta,norm3,KNN,0.9733,0.734,0.6,0.5629
F_median_3d_3area,beta,None,XGBoost,0.72,0.6064,0.58,0.5629
F_dasm_3d,delta,norm3,Random Forest,0.7467,0.6526,0.59,0.5614
F_rasm_3d,delta,norm3,Random Forest,0.7667,0.6501,0.62,0.5614
F_de_3d_Fp2,theta,norm3,KNN,0.98,0.6857,0.65,0.5586
F_de_3d_Fp2,theta,norm2,KNN,0.98,0.6857,0.65,0.5586
F_median_3d_F4,delta,None,Random Forest,0.7333,0.5887,0.58,0.5586
F_rasm_3d,delta,norm3,XGBoost,0.8333,0.6924,0.58,0.5571
F_mean_3d_Fp1,beta,None,Random Forest,0.6467,0.5908,0.56,0.5557
F_median_3d_F8,delta,None,Random Forest,0.7067,0.5878,0.56,0.5557
F_de_3d_2area,delta,norm3,Ensemble (Majority Vote),0.72,0.6205,0.54,0.5557
F_mean_3d_Fp1,beta,None,Ensemble (Majority Vote),0.6867,0.5993,0.55,0.5557
F_median_3d_F8,delta,None,XGBoost,0.6067,0.5655,0.55,0.5543
F_peak_3d_2area,delta,norm3,Linear SVM,0.5,0.5175,0.55,0.5543
F_median_3d_2area,all,None,XGBoost,0.9067,0.7099,0.54,0.5529
F_peak_3d_Fp1,delta,None,Random Forest,0.7133,0.5931,0.59,0.5514
F_mean_3d_Cz,gamma,norm3,KNN,0.9533,0.6782,0.65,0.5514
F_peak_3d_2area,delta,norm3,Logistic Regression,0.5133,0.5145,0.54,0.5514
F_mean_3d_2area,gamma,norm3,Logistic Regression,0.5267,0.529,0.56,0.5514
F_mean_3d_Cz,gamma,norm2,KNN,0.9533,0.6782,0.65,0.5514
F_mean_3d_F3,theta,None,Ensemble (Majority Vote),0.6867,0.6048,0.56,0.5514
F_rasm_3d_8rm,beta,norm2,XGBoost,0.8667,0.6251,0.62,0.55
F_mean_3d_2area,gamma,norm3,Linear SVM,0.5267,0.531,0.56,0.55
F_de_3d_C3,all,norm2,Ensemble (Majority Vote),0.8467,0.6701,0.61,0.55
F_peak_3d_C3,gamma,norm3,Random Forest,0.8667,0.5855,0.57,0.5486
F_median_3d_Fp2,theta,norm3,Ensemble (Majority Vote),0.7933,0.6126,0.61,0.5486
F_peak_3d_2area,gamma,norm3,Linear SVM,0.5133,0.5345,0.55,0.5486
F_median_3d_Fz,all,norm2,Random Forest,0.9467,0.6816,0.53,0.5486
F_de_3d_T7,gamma,norm2,KNN,0.9733,0.6862,0.58,0.5486
F_dasm_3d,delta,norm3,XGBoost,0.8667,0.6869,0.6,0.5486
F_dasm_3d19,beta,None,XGBoost,0.9067,0.7257,0.57,0.5486
F_de_3d_Fp1,all,None,KNN,0.98,0.7177,0.59,0.5486
F_median_3d_Cz,theta,None,Logistic Regression,0.5933,0.5299,0.54,0.5486
F_peak_3d_C3,gamma,norm2,Random Forest,0.8667,0.5855,0.57,0.5486
F_median_3d_F8,all,None,XGBoost,0.8133,0.6379,0.61,0.5486
F_mean_3d_F4,beta,None,Random Forest,0.6467,0.5795,0.57,0.5486
F_median_3d_Fp2,theta,norm2,Ensemble (Majority Vote),0.7933,0.6126,0.61,0.5486
F_de_3d_T7,gamma,norm3,KNN,0.9733,0.6862,0.58,0.5486
F_median_3d_T8,all,norm2,KNN,0.98,0.6887,0.62,0.5486
F_rasm_3d_3area,all,None,KNN,0.9533,0.7131,0.55,0.5486
F_mean_3d_F3,theta,None,Logistic Regression,0.5467,0.5239,0.54,0.5486
F_median_3d_3area,beta,None,Random Forest,0.6733,0.5963,0.56,0.5471
