특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.43333333333333335,0.5,0.5,0.4857142857142857,"[[65, 40], [65, 40]]","[[67, 3], [69, 1]]"
F_mean_3d_Fz,delta,None,KNN,0.9,0.7095238095238096,0.35,0.45714285714285713,"[[82, 23], [38, 67]]","[[25, 45], [31, 39]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.4666666666666667,0.5095238095238095,0.5,0.4785714285714286,"[[59, 46], [57, 48]]","[[65, 5], [68, 2]]"
F_mean_3d_Fz,delta,None,Random Forest,0.6666666666666666,0.5666666666666667,0.55,0.5357142857142857,"[[53, 52], [39, 66]]","[[12, 58], [7, 63]]"
F_mean_3d_Fz,delta,None,XGBoost,0.7,0.580952380952381,0.55,0.5357142857142857,"[[57, 48], [40, 65]]","[[13, 57], [8, 62]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7333333333333333,0.6619047619047619,0.4,0.4785714285714286,"[[78, 27], [44, 61]]","[[29, 41], [32, 38]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[105, 0], [105, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,0.9333333333333333,0.7238095238095238,0.5,0.5071428571428571,"[[81, 24], [34, 71]]","[[39, 31], [38, 32]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.5047619047619047,0.65,0.5785714285714286,"[[35, 70], [34, 71]]","[[31, 39], [20, 50]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.6333333333333333,0.580952380952381,0.45,0.4642857142857143,"[[64, 41], [47, 58]]","[[37, 33], [42, 28]]"
