특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.5666666666666667,0.5563218390804597,0.45,0.42142857142857143,"[[253, 182], [204, 231]]","[[38, 32], [49, 21]]"
F_mean_3d_Fz,delta,None,KNN,1.0,0.7183908045977011,0.45,0.4714285714285714,"[[313, 122], [123, 312]]","[[35, 35], [39, 31]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.5666666666666667,0.5563218390804597,0.45,0.42142857142857143,"[[253, 182], [204, 231]]","[[38, 32], [49, 21]]"
F_mean_3d_Fz,delta,None,Random Forest,0.7333333333333333,0.603448275862069,0.35,0.37142857142857144,"[[238, 197], [148, 287]]","[[27, 43], [45, 25]]"
F_mean_3d_Fz,delta,None,XGBoost,0.7,0.6172413793103448,0.4,0.4142857142857143,"[[215, 220], [113, 322]]","[[22, 48], [34, 36]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7333333333333333,0.628735632183908,0.3,0.36428571428571427,"[[268, 167], [156, 279]]","[[32, 38], [51, 19]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,1.0,0.6931034482758621,0.5,0.5,"[[299, 136], [131, 304]]","[[34, 36], [34, 36]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.5,0.5080459770114942,0.5,0.5071428571428571,"[[291, 144], [284, 151]]","[[46, 24], [45, 25]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.7666666666666667,0.5816091954022988,0.6,0.4928571428571429,"[[266, 169], [195, 240]]","[[32, 38], [33, 37]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.7,0.5701149425287356,0.55,0.4785714285714286,"[[255, 180], [194, 241]]","[[31, 39], [34, 36]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.7666666666666667,0.6206896551724138,0.45,0.5285714285714286,"[[330, 105], [225, 210]]","[[47, 23], [43, 27]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,1.0,0.6931034482758621,0.5,0.5,"[[299, 136], [131, 304]]","[[34, 36], [34, 36]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.5,0.5080459770114942,0.5,0.5071428571428571,"[[291, 144], [284, 151]]","[[46, 24], [45, 25]]"
F_mean_3d_Fz,delta,norm3,Random Forest,0.7666666666666667,0.5816091954022988,0.6,0.4928571428571429,"[[266, 169], [195, 240]]","[[32, 38], [33, 37]]"
F_mean_3d_Fz,delta,norm3,XGBoost,0.7,0.5701149425287356,0.55,0.4785714285714286,"[[255, 180], [194, 241]]","[[31, 39], [34, 36]]"
F_mean_3d_Fz,delta,norm3,Ensemble (Majority Vote),0.7666666666666667,0.6206896551724138,0.45,0.5285714285714286,"[[330, 105], [225, 210]]","[[47, 23], [43, 27]]"
F_mean_3d_Fz,theta,None,Logistic Regression,0.5333333333333333,0.5333333333333333,0.4,0.4,"[[246, 189], [217, 218]]","[[35, 35], [49, 21]]"
F_mean_3d_Fz,theta,None,KNN,1.0,0.7,0.4,0.45,"[[298, 137], [124, 311]]","[[37, 33], [44, 26]]"
F_mean_3d_Fz,theta,None,Linear SVM,0.5333333333333333,0.5344827586206896,0.4,0.4,"[[246, 189], [216, 219]]","[[35, 35], [49, 21]]"
F_mean_3d_Fz,theta,None,Random Forest,0.7333333333333333,0.5770114942528736,0.4,0.37142857142857144,"[[209, 226], [142, 293]]","[[21, 49], [39, 31]]"
F_mean_3d_Fz,theta,None,XGBoost,0.7,0.5781609195402299,0.35,0.38571428571428573,"[[213, 222], [145, 290]]","[[22, 48], [38, 32]]"
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.7,0.6091954022988506,0.25,0.32857142857142857,"[[253, 182], [158, 277]]","[[26, 44], [50, 20]]"
F_mean_3d_Fz,theta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm2,KNN,0.9333333333333333,0.6827586206896552,0.45,0.5071428571428571,"[[303, 132], [144, 291]]","[[32, 38], [31, 39]]"
F_mean_3d_Fz,theta,norm2,Linear SVM,0.5666666666666667,0.5114942528735632,0.45,0.4857142857142857,"[[214, 221], [204, 231]]","[[31, 39], [33, 37]]"
F_mean_3d_Fz,theta,norm2,Random Forest,0.8,0.6,0.35,0.44285714285714284,"[[277, 158], [190, 245]]","[[33, 37], [41, 29]]"
F_mean_3d_Fz,theta,norm2,XGBoost,0.5,0.539080459770115,0.45,0.45,"[[324, 111], [290, 145]]","[[43, 27], [50, 20]]"
F_mean_3d_Fz,theta,norm2,Ensemble (Majority Vote),0.6,0.6011494252873564,0.45,0.4357142857142857,"[[352, 83], [264, 171]]","[[42, 28], [51, 19]]"
F_mean_3d_Fz,theta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm3,KNN,0.9333333333333333,0.6827586206896552,0.45,0.5071428571428571,"[[303, 132], [144, 291]]","[[32, 38], [31, 39]]"
F_mean_3d_Fz,theta,norm3,Linear SVM,0.5666666666666667,0.5114942528735632,0.45,0.4857142857142857,"[[214, 221], [204, 231]]","[[31, 39], [33, 37]]"
F_mean_3d_Fz,theta,norm3,Random Forest,0.8,0.6,0.35,0.44285714285714284,"[[277, 158], [190, 245]]","[[33, 37], [41, 29]]"
F_mean_3d_Fz,theta,norm3,XGBoost,0.5,0.539080459770115,0.45,0.45,"[[324, 111], [290, 145]]","[[43, 27], [50, 20]]"
F_mean_3d_Fz,theta,norm3,Ensemble (Majority Vote),0.6,0.6011494252873564,0.45,0.4357142857142857,"[[352, 83], [264, 171]]","[[42, 28], [51, 19]]"
F_mean_3d_Fz,alpha,None,Logistic Regression,0.43333333333333335,0.48735632183908045,0.4,0.5071428571428571,"[[229, 206], [240, 195]]","[[40, 30], [39, 31]]"
F_mean_3d_Fz,alpha,None,KNN,0.9666666666666667,0.6954022988505747,0.55,0.4928571428571429,"[[311, 124], [141, 294]]","[[32, 38], [33, 37]]"
