특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_median_3d_8rm,alpha,norm3,Logistic Regression,0.6533,0.5892,0.61,0.6114
F_median_3d_8rm,alpha,norm3,Linear SVM,0.66,0.5915,0.64,0.6086
F_median_3d_8rm,alpha,norm3,Ensemble (Majority Vote),0.8267,0.686,0.63,0.6014
F_median_3d_2area,alpha,norm3,Linear SVM,0.5467,0.531,0.63,0.59
F_median_3d_8rm,alpha,None,Linear SVM,0.6133,0.583,0.6,0.59
F_median_3d_2area,alpha,norm3,Logistic Regression,0.5467,0.529,0.63,0.5886
F_mean_3d_8rm,alpha,None,Logistic Regression,0.5867,0.5651,0.63,0.5886
F_de_3d_8rm,alpha,None,Linear SVM,0.6267,0.5841,0.6,0.5871
F_mean_3d_8rm,alpha,None,Linear SVM,0.6133,0.5752,0.65,0.5857
F_dasm_3d19,alpha,norm3,Linear SVM,0.6667,0.6085,0.58,0.5857
F_dasm_3d19,alpha,norm3,Logistic Regression,0.6733,0.609,0.59,0.5857
F_rasm_3d_10rm,theta,norm3,XGBoost,0.8667,0.729,0.63,0.5814
F_median_3d_10rm,alpha,norm3,Linear SVM,0.6667,0.6034,0.59,0.58
F_median_3d_2area,beta,norm3,Linear SVM,0.4867,0.5198,0.62,0.58
F_median_3d_8rm,alpha,None,Logistic Regression,0.5867,0.5676,0.57,0.5771
F_peak_3d_3area,beta,None,Logistic Regression,0.5533,0.5497,0.62,0.5771
F_de_3d_8rm,alpha,None,Logistic Regression,0.6,0.5699,0.59,0.5743
F_de_3d_2area,delta,norm3,XGBoost,0.7,0.5998,0.6,0.5743
F_median_3d,alpha,norm3,Linear SVM,0.7067,0.6175,0.57,0.5729
F_median_3d_2area,beta,norm3,Logistic Regression,0.5,0.5211,0.62,0.5714
F_rasm_3d,theta,None,XGBoost,0.8467,0.6713,0.62,0.5714
F_peak_3d_1area,all,None,KNN,0.9867,0.7759,0.62,0.5714
F_rasm_3d_10rm,theta,norm3,Random Forest,0.7933,0.7028,0.56,0.5714
F_median_3d_2area,beta,norm3,Ensemble (Majority Vote),0.7933,0.6244,0.61,0.57
F_mean_3d_8rm,alpha,norm3,Linear SVM,0.6333,0.5855,0.61,0.57
F_median_3d_8rm,alpha,norm3,Random Forest,0.7733,0.6605,0.59,0.57
F_mean_3d,alpha,None,Logistic Regression,0.6267,0.5966,0.59,0.57
F_de_3d19,alpha,None,Linear SVM,0.7267,0.6533,0.63,0.57
F_median_3d_10rm,alpha,norm3,Ensemble (Majority Vote),0.82,0.6959,0.57,0.5686
F_median_3d,alpha,norm3,Logistic Regression,0.6667,0.612,0.55,0.5686
F_peak_3d_8rm,beta,None,Logistic Regression,0.5533,0.5634,0.59,0.5686
F_mean_3d19,alpha,None,Random Forest,0.74,0.6715,0.56,0.5671
F_mean_3d_T7,alpha,None,XGBoost,0.5933,0.5577,0.61,0.5671
F_mean_3d_2area,alpha,None,Logistic Regression,0.56,0.5366,0.58,0.5671
F_peak_3d_F3,alpha,None,Logistic Regression,0.5267,0.5225,0.58,0.5671
F_peak_3d_Fp2,gamma,None,Random Forest,0.7,0.6037,0.59,0.5671
F_peak_3d_2area,all,None,Ensemble (Majority Vote),0.8267,0.7356,0.55,0.5657
F_de_3d_3area,alpha,None,Linear SVM,0.5467,0.54,0.58,0.5657
F_de_3d19,alpha,norm3,Random Forest,0.8733,0.709,0.63,0.5657
F_median_3d_10rm,alpha,norm3,Logistic Regression,0.6533,0.5961,0.55,0.5657
F_peak_3d_Fp2,gamma,None,XGBoost,0.66,0.6048,0.59,0.5643
F_peak_3d_F3,alpha,None,Linear SVM,0.5267,0.5221,0.57,0.5643
F_dasm_3d_10rm,alpha,norm3,Logistic Regression,0.5533,0.5549,0.62,0.5643
F_peak_3d_3area,beta,None,Linear SVM,0.6,0.5582,0.6,0.5629
F_peak_3d_8rm,beta,None,Linear SVM,0.6267,0.5952,0.61,0.5629
F_de_3d,alpha,None,Logistic Regression,0.64,0.5989,0.58,0.5629
F_mean_3d,alpha,None,Linear SVM,0.6333,0.6011,0.58,0.5614
F_dasm_3d_8rm,alpha,norm3,Linear SVM,0.5933,0.5439,0.59,0.5614
F_mean_3d_2area,alpha,None,Linear SVM,0.58,0.5409,0.61,0.56
F_dasm_3d_10rm,alpha,norm3,Linear SVM,0.5667,0.5575,0.61,0.56
F_dasm_3d_8rm,alpha,norm3,Logistic Regression,0.5867,0.5434,0.59,0.56
F_peak_3d_10rm,beta,None,Logistic Regression,0.6,0.5821,0.57,0.56
F_mean_3d_10rm,alpha,None,Linear SVM,0.62,0.5857,0.6,0.56
F_dasm_3d19,alpha,norm3,XGBoost,0.9333,0.7887,0.57,0.56
F_peak_3d_Fp2,gamma,None,Ensemble (Majority Vote),0.7333,0.6283,0.6,0.56
F_mean_3d_8rm,alpha,norm3,Ensemble (Majority Vote),0.8133,0.6844,0.6,0.56
F_peak_3d,beta,None,Logistic Regression,0.6333,0.6018,0.58,0.5586
F_de_3d_Fp2,theta,norm3,KNN,0.98,0.6857,0.65,0.5586
F_de_3d_Fp2,theta,norm2,KNN,0.98,0.6857,0.65,0.5586
F_median_3d,alpha,None,Linear SVM,0.6467,0.6103,0.53,0.5586
F_peak_3d_2area,all,None,KNN,0.9867,0.8028,0.61,0.5586
F_de_3d_8rm,alpha,norm3,Ensemble (Majority Vote),0.8133,0.6931,0.54,0.5586
F_mean_3d_8rm,alpha,norm3,Logistic Regression,0.6133,0.5782,0.6,0.5586
F_median_3d_3area,theta,None,Linear SVM,0.62,0.5549,0.54,0.5586
F_rasm_3d_3area,delta,None,XGBoost,0.6,0.5715,0.59,0.5571
F_peak_3d_3area,alpha,None,Linear SVM,0.5667,0.546,0.6,0.5571
F_de_3d_F3,beta,None,Logistic Regression,0.5,0.5115,0.56,0.5571
F_de_3d_F3,beta,None,Linear SVM,0.5,0.5106,0.56,0.5571
F_mean_3d_2area,delta,norm3,XGBoost,0.66,0.5885,0.59,0.5571
