특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch),학습 혼동 행렬 (Epoch),테스트 혼동 행렬 (Epoch)
F_mean_3d_Fz,delta,None,Logistic Regression,0.7,0.5804597701149425,0.6,0.6142857142857143,"[[254, 181], [184, 251]]","[[66, 4], [50, 20]]"
F_mean_3d_Fz,delta,None,KNN,0.9666666666666667,0.6988505747126437,0.45,0.45,"[[303, 132], [130, 305]]","[[39, 31], [46, 24]]"
F_mean_3d_Fz,delta,None,Linear SVM,0.7,0.5827586206896552,0.6,0.6142857142857143,"[[254, 181], [182, 253]]","[[66, 4], [50, 20]]"
F_mean_3d_Fz,delta,None,Random Forest,0.6666666666666666,0.5919540229885057,0.6,0.6142857142857143,"[[245, 190], [165, 270]]","[[65, 5], [49, 21]]"
F_mean_3d_Fz,delta,None,XGBoost,0.6,0.5827586206896552,0.6,0.6142857142857143,"[[223, 212], [151, 284]]","[[62, 8], [46, 24]]"
F_mean_3d_Fz,delta,None,Ensemble (Majority Vote),0.7,0.5873563218390805,0.6,0.6071428571428571,"[[249, 186], [173, 262]]","[[65, 5], [50, 20]]"
F_mean_3d_Fz,delta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm2,KNN,1.0,0.6908045977011494,0.6,0.5428571428571428,"[[294, 141], [128, 307]]","[[37, 33], [31, 39]]"
F_mean_3d_Fz,delta,norm2,Linear SVM,0.4666666666666667,0.4954022988505747,0.4,0.45,"[[252, 183], [256, 179]]","[[36, 34], [43, 27]]"
F_mean_3d_Fz,delta,norm2,Random Forest,0.7,0.5885057471264368,0.5,0.4857142857142857,"[[315, 120], [238, 197]]","[[44, 26], [46, 24]]"
F_mean_3d_Fz,delta,norm2,XGBoost,0.6333333333333333,0.5666666666666667,0.5,0.5071428571428571,"[[311, 124], [253, 182]]","[[49, 21], [48, 22]]"
F_mean_3d_Fz,delta,norm2,Ensemble (Majority Vote),0.5333333333333333,0.5988505747126437,0.55,0.5214285714285715,"[[353, 82], [267, 168]]","[[51, 19], [48, 22]]"
F_mean_3d_Fz,delta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,delta,norm3,KNN,1.0,0.6908045977011494,0.6,0.5428571428571428,"[[294, 141], [128, 307]]","[[37, 33], [31, 39]]"
F_mean_3d_Fz,delta,norm3,Linear SVM,0.4666666666666667,0.4954022988505747,0.4,0.45,"[[252, 183], [256, 179]]","[[36, 34], [43, 27]]"
F_mean_3d_Fz,delta,norm3,Random Forest,0.7,0.5885057471264368,0.5,0.4857142857142857,"[[315, 120], [238, 197]]","[[44, 26], [46, 24]]"
F_mean_3d_Fz,delta,norm3,XGBoost,0.6333333333333333,0.5666666666666667,0.5,0.5071428571428571,"[[311, 124], [253, 182]]","[[49, 21], [48, 22]]"
F_mean_3d_Fz,delta,norm3,Ensemble (Majority Vote),0.5333333333333333,0.5988505747126437,0.55,0.5214285714285715,"[[353, 82], [267, 168]]","[[51, 19], [48, 22]]"
F_mean_3d_Fz,theta,None,Logistic Regression,0.7333333333333333,0.542528735632184,0.6,0.6,"[[234, 201], [197, 238]]","[[64, 6], [50, 20]]"
F_mean_3d_Fz,theta,None,KNN,1.0,0.7103448275862069,0.35,0.4642857142857143,"[[306, 129], [123, 312]]","[[34, 36], [39, 31]]"
F_mean_3d_Fz,theta,None,Linear SVM,0.7333333333333333,0.5413793103448276,0.6,0.6,"[[233, 202], [197, 238]]","[[64, 6], [50, 20]]"
F_mean_3d_Fz,theta,None,Random Forest,0.8,0.5862068965517241,0.7,0.5928571428571429,"[[260, 175], [185, 250]]","[[54, 16], [41, 29]]"
F_mean_3d_Fz,theta,None,XGBoost,0.7,0.5712643678160919,0.75,0.6071428571428571,"[[239, 196], [177, 258]]","[[53, 17], [38, 32]]"
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.7666666666666667,0.5850574712643678,0.65,0.6,"[[251, 184], [177, 258]]","[[57, 13], [43, 27]]"
F_mean_3d_Fz,theta,norm2,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm2,KNN,0.9666666666666667,0.7034482758620689,0.35,0.45,"[[299, 136], [122, 313]]","[[32, 38], [39, 31]]"
F_mean_3d_Fz,theta,norm2,Linear SVM,0.36666666666666664,0.4827586206896552,0.45,0.5214285714285715,"[[196, 239], [211, 224]]","[[37, 33], [34, 36]]"
F_mean_3d_Fz,theta,norm2,Random Forest,0.9666666666666667,0.6172413793103448,0.65,0.5142857142857142,"[[271, 164], [169, 266]]","[[35, 35], [33, 37]]"
F_mean_3d_Fz,theta,norm2,XGBoost,0.5,0.5609195402298851,0.5,0.44285714285714284,"[[125, 310], [72, 363]]","[[10, 60], [18, 52]]"
F_mean_3d_Fz,theta,norm2,Ensemble (Majority Vote),0.9666666666666667,0.6459770114942529,0.55,0.45714285714285713,"[[302, 133], [175, 260]]","[[36, 34], [42, 28]]"
F_mean_3d_Fz,theta,norm3,Logistic Regression,0.5,0.5,0.5,0.5,"[[435, 0], [435, 0]]","[[70, 0], [70, 0]]"
F_mean_3d_Fz,theta,norm3,KNN,0.9666666666666667,0.7034482758620689,0.35,0.45,"[[299, 136], [122, 313]]","[[32, 38], [39, 31]]"
