특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d_T7,all,norm3,Linear SVM,0.6067,0.5784,0.71,0.6486
F_peak_3d_T7,all,norm3,Logistic Regression,0.6,0.5779,0.7,0.6414
F_de_3d_Fz,all,None,Linear SVM,0.6,0.5805,0.66,0.6329
F_peak_3d_Fz,all,None,Logistic Regression,0.6467,0.6037,0.65,0.6286
F_de_3d_Fz,all,None,Logistic Regression,0.6133,0.5768,0.66,0.6271
F_peak_3d_Fz,all,norm3,Linear SVM,0.66,0.6016,0.62,0.6243
F_peak_3d_Fz,all,norm3,Logistic Regression,0.6667,0.6028,0.62,0.6214
F_peak_3d_T7,all,norm3,Ensemble (Majority Vote),0.7667,0.6754,0.69,0.6214
F_peak_3d_Fz,all,norm3,Ensemble (Majority Vote),0.78,0.6777,0.66,0.6186
F_peak_3d_3area,beta,norm3,Logistic Regression,0.58,0.571,0.67,0.6129
F_peak_3d_3area,beta,norm3,Linear SVM,0.58,0.5703,0.66,0.6114
F_de_3d_Fz,all,None,Ensemble (Majority Vote),0.7667,0.6995,0.67,0.61
F_peak_3d_Fz,all,None,Linear SVM,0.6133,0.6076,0.64,0.6086
F_peak_3d_Fz,all,norm3,XGBoost,0.84,0.7048,0.68,0.6086
F_peak_3d_Fz,all,norm3,Random Forest,0.7533,0.6644,0.62,0.6086
F_mean_3d_Fz,all,None,Linear SVM,0.6,0.5763,0.61,0.6071
F_peak_3d_Fz,beta,None,Logistic Regression,0.58,0.549,0.63,0.6071
F_mean_3d19,gamma,None,Logistic Regression,0.78,0.6805,0.63,0.6071
F_mean_3d_Fz,all,None,Logistic Regression,0.62,0.5726,0.61,0.6057
F_peak_3d_Fz,all,None,Ensemble (Majority Vote),0.7867,0.7117,0.65,0.6057
F_mean_3d19,gamma,norm3,Logistic Regression,0.7733,0.6795,0.63,0.6057
F_peak_3d_Fz,beta,None,Linear SVM,0.5733,0.5476,0.63,0.6043
F_mean_3d_Fz,all,norm3,Random Forest,0.7733,0.6632,0.68,0.6029
F_mean_3d19,gamma,norm3,Linear SVM,0.7933,0.6811,0.63,0.6029
F_de_3d19,gamma,None,Ensemble (Majority Vote),0.9733,0.8372,0.7,0.6014
F_de_3d19,gamma,None,Linear SVM,0.8267,0.6972,0.67,0.6014
F_mean_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7867,0.6653,0.66,0.6014
F_mean_3d_Fz,all,None,Ensemble (Majority Vote),0.84,0.6924,0.63,0.6014
F_de_3d_Fz,beta,None,Logistic Regression,0.5267,0.5211,0.66,0.6
F_mean_3d19,gamma,None,Linear SVM,0.8,0.6862,0.65,0.6
F_median_3d_Fz,all,None,XGBoost,0.84,0.7016,0.64,0.6
F_de_3d_Fz,beta,None,Linear SVM,0.5267,0.5218,0.66,0.6
F_de_3d19,gamma,None,Logistic Regression,0.8067,0.6848,0.67,0.5986
F_peak_3d_Fz,theta,None,Ensemble (Majority Vote),0.66,0.6108,0.64,0.5986
F_mean_3d_Fz,all,norm3,Linear SVM,0.6067,0.5731,0.65,0.5971
F_de_3d_Fz,all,norm3,Random Forest,0.7333,0.6653,0.69,0.5971
F_peak_3d_3area,beta,norm3,Ensemble (Majority Vote),0.6933,0.6297,0.58,0.5957
F_de_3d,beta,None,Random Forest,0.8267,0.7526,0.66,0.5957
F_de_3d_Fz,all,norm3,Logistic Regression,0.6333,0.5841,0.59,0.5943
F_mean_3d_Fz,all,norm3,Logistic Regression,0.6,0.5706,0.64,0.5943
F_de_3d,delta,None,Ensemble (Majority Vote),0.9267,0.7864,0.66,0.5929
F_de_3d_F3,delta,None,Linear SVM,0.5667,0.5343,0.62,0.5929
F_peak_3d_8rm,all,None,Linear SVM,0.9533,0.8103,0.64,0.5929
F_de_3d_F3,delta,None,Logistic Regression,0.56,0.5331,0.62,0.5929
F_de_3d_Fz,all,norm3,Ensemble (Majority Vote),0.7667,0.6736,0.63,0.5929
F_de_3d_Fz,all,norm3,Linear SVM,0.6133,0.5839,0.59,0.5914
F_peak_3d_3area,beta,None,Logistic Regression,0.6267,0.588,0.58,0.59
F_median_3d_Fz,all,None,Random Forest,0.7667,0.6676,0.58,0.59
F_median_3d_Fz,all,None,Ensemble (Majority Vote),0.7867,0.6805,0.63,0.59
F_de_3d_8rm,delta,None,KNN,0.9933,0.8308,0.61,0.59
F_de_3d,delta,None,XGBoost,0.98,0.8432,0.65,0.59
F_mean_3d19,gamma,norm3,Ensemble (Majority Vote),0.9533,0.7993,0.6,0.59
F_peak_3d_Fz,theta,None,Logistic Regression,0.5467,0.5349,0.6,0.5886
F_de_3d_10rm,beta,None,Ensemble (Majority Vote),0.8733,0.7667,0.65,0.5886
F_de_3d_8rm,delta,None,XGBoost,0.96,0.7936,0.63,0.5886
F_peak_3d_3area,all,None,Linear SVM,0.78,0.6986,0.62,0.5886
F_de_3d,beta,None,Ensemble (Majority Vote),0.8867,0.7926,0.63,0.5886
F_peak_3d_Fz,theta,None,Linear SVM,0.5533,0.5366,0.6,0.5886
F_mean_3d_Fz,alpha,None,XGBoost,0.72,0.5846,0.59,0.5857
F_rasm_3d19,all,norm3,Random Forest,0.8933,0.8299,0.61,0.5857
F_de_3d_10rm,beta,None,Random Forest,0.8333,0.7405,0.63,0.5857
F_mean_3d19,delta,norm3,XGBoost,0.9933,0.8839,0.62,0.5857
F_mean_3d_Fz,all,norm3,XGBoost,0.8733,0.6814,0.62,0.5857
F_peak_3d_Fz,all,None,XGBoost,0.8867,0.7393,0.63,0.5857
F_median_3d19,gamma,None,Linear SVM,0.8267,0.686,0.62,0.5843
F_peak_3d_Fz,beta,None,Random Forest,0.6467,0.6117,0.59,0.5843
F_de_3d_Fz,theta,None,Random Forest,0.6933,0.5901,0.59,0.5843
F_peak_3d_F3,delta,None,Logistic Regression,0.54,0.5255,0.6,0.5843
F_peak_3d_F3,delta,None,Linear SVM,0.54,0.5257,0.61,0.5843
F_peak_3d,delta,None,XGBoost,0.9933,0.8685,0.67,0.5843
F_de_3d,delta,None,KNN,1.0,0.8846,0.61,0.5829
F_mean_3d_Fz,alpha,None,Random Forest,0.7333,0.5986,0.56,0.5829
F_peak_3d_Fz,all,None,Random Forest,0.7933,0.6998,0.62,0.5829
F_de_3d_F8,theta,None,Linear SVM,0.6133,0.534,0.65,0.5829
F_peak_3d_T7,all,norm3,Random Forest,0.7467,0.6685,0.61,0.5829
F_dasm_3d19,gamma,norm3,Logistic Regression,0.68,0.6051,0.58,0.5829
F_dasm_3d19,gamma,norm3,Linear SVM,0.68,0.6048,0.58,0.5829
F_de_3d19,gamma,norm3,Logistic Regression,0.8067,0.6844,0.66,0.5814
F_de_3d_Fz,all,norm3,XGBoost,0.8333,0.7051,0.67,0.5814
F_de_3d_F8,theta,None,Logistic Regression,0.6067,0.534,0.65,0.5814
F_median_3d,beta,None,KNN,1.0,0.8478,0.63,0.5814
F_de_3d_8rm,delta,None,Ensemble (Majority Vote),0.8733,0.7536,0.61,0.5814
F_peak_3d_T7,delta,None,Linear SVM,0.56,0.5508,0.58,0.5814
F_peak_3d_8rm,all,norm3,Linear SVM,0.9733,0.8016,0.58,0.58
F_de_3d19,gamma,norm3,Linear SVM,0.8067,0.6864,0.66,0.58
F_peak_3d_Fz,theta,None,Random Forest,0.64,0.588,0.61,0.58
F_peak_3d_3area,all,None,Logistic Regression,0.7733,0.6752,0.61,0.58
F_mean_3d_Fz,alpha,None,Ensemble (Majority Vote),0.7133,0.6016,0.58,0.58
F_peak_3d_T7,delta,None,Logistic Regression,0.56,0.5503,0.57,0.58
F_median_3d19,gamma,None,Logistic Regression,0.78,0.6818,0.61,0.58
F_peak_3d19,gamma,None,Ensemble (Majority Vote),0.9533,0.8407,0.55,0.5786
F_peak_3d_8rm,all,None,Logistic Regression,0.9267,0.7945,0.61,0.5786
F_de_3d_Fz,all,None,KNN,0.98,0.7667,0.63,0.5786
F_median_3d19,gamma,norm3,Logistic Regression,0.8133,0.6784,0.61,0.5771
F_peak_3d_3area,all,None,Ensemble (Majority Vote),0.9267,0.8113,0.61,0.5771
F_mean_3d_Fz,theta,None,Random Forest,0.6933,0.5816,0.57,0.5771
F_peak_3d,delta,None,Random Forest,0.8667,0.7301,0.59,0.5771
F_peak_3d_F8,gamma,None,Linear SVM,0.5333,0.5398,0.57,0.5771
F_peak_3d_Fz,beta,None,KNN,0.9667,0.7071,0.66,0.5771
F_peak_3d_1area,beta,None,Linear SVM,0.6067,0.5621,0.59,0.5757
F_peak_3d_3area,beta,None,Linear SVM,0.6133,0.5869,0.59,0.5757
F_de_3d_10rm,delta,None,XGBoost,0.9733,0.8175,0.63,0.5757
F_peak_3d_Fz,beta,None,Ensemble (Majority Vote),0.6867,0.6285,0.58,0.5757
F_peak_3d_F8,gamma,None,Logistic Regression,0.5333,0.5393,0.57,0.5757
F_peak_3d_Fz,beta,None,XGBoost,0.6467,0.5989,0.56,0.5757
F_median_3d19,gamma,norm3,Linear SVM,0.8067,0.6793,0.61,0.5757
F_mean_3d,beta,norm2,Ensemble (Majority Vote),0.94,0.7308,0.62,0.5743
F_mean_3d_Fz,all,None,XGBoost,0.8867,0.7002,0.56,0.5743
F_peak_3d_1area,beta,None,Logistic Regression,0.6067,0.5621,0.59,0.5743
F_de_3d_F3,delta,None,Ensemble (Majority Vote),0.7067,0.6067,0.62,0.5743
F_median_3d_Fz,all,norm3,Linear SVM,0.6267,0.5733,0.58,0.5743
F_de_3d_F3,beta,None,Ensemble (Majority Vote),0.7267,0.6336,0.6,0.5729
F_de_3d,beta,None,Logistic Regression,0.76,0.6657,0.61,0.5729
F_de_3d_8rm,theta,None,Logistic Regression,0.7067,0.6156,0.6,0.5729
F_de_3d_F3,all,None,Linear SVM,0.62,0.6051,0.6,0.5729
F_mean_3d,beta,norm2,KNN,0.9933,0.7085,0.67,0.5729
F_mean_3d_Fz,theta,None,XGBoost,0.64,0.5692,0.58,0.5729
F_de_3d_10rm,delta,None,Ensemble (Majority Vote),0.8933,0.7639,0.61,0.5729
